,Politician,Party,Stance,Naming-form,Political-Orientation
102,Anton Hofreiter,Bündnis 90/Die Grünen,positive,FNLN,Links
104,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
105,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
106,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
107,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
108,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
110,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
111,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
113,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
114,Anton Hofreiter,Bündnis 90/Die Grünen,negative,LN,Rechts
115,Dietmar Bartsch,Die Linke,negative,FNLN,Rechts
116,Dietmar Bartsch,Die Linke,negative,FNLN,Links
117,Dietmar Bartsch,Die Linke,positive,FNLN,Links
118,Dietmar Bartsch,Die Linke,positive,FNLN,Links
119,Dietmar Bartsch,Die Linke,negative,FNLN,Links
120,Dietmar Bartsch,Die Linke,negative,LN,Rechts
121,Dietmar Bartsch,Die Linke,negative,LN,Links
123,Dietmar Bartsch,Die Linke,positive,FNLN,Links
124,Dietmar Bartsch,Die Linke,positive,FNLN,Links
127,Dietmar Bartsch,Die Linke,negative,LN,Rechts
130,Dietmar Bartsch,Die Linke,positive,FNLN,Links
131,Dietmar Bartsch,Die Linke,positive,FNLN,Links
132,Dietmar Bartsch,Die Linke,negative,LN,Links
133,Dietmar Bartsch,Die Linke,positive,LN,Links
134,Dietmar Bartsch,Die Linke,positive,LN,Rechts
135,Dietmar Bartsch,Die Linke,negative,LN,Rechts
139,Dietmar Bartsch,Die Linke,negative,FNLN,Links
140,Dietmar Bartsch,Die Linke,positive,FNLN,Links
141,Dietmar Bartsch,Die Linke,positive,FNLN,Links
143,Dietmar Bartsch,Die Linke,positive,FNLN,Rechts
144,Dietmar Bartsch,Die Linke,negative,FNLN,Links
146,Dietmar Bartsch,Die Linke,negative,LN,Rechts
147,Dietmar Bartsch,Die Linke,negative,FNLN,Links
148,Dietmar Bartsch,Die Linke,positive,LN,Rechts
150,Dietmar Bartsch,Die Linke,positive,FNLN,Links
151,Frauke Petry,AfD/Petry,negative,FNLN,Links
152,Frauke Petry,AfD/Petry,negative,LN,Links
153,Frauke Petry,AfD/Petry,negative,LN,Links
154,Frauke Petry,AfD/Petry,positive,LN,Rechts
155,Frauke Petry,AfD/Petry,negative,LN,Links
156,Frauke Petry,AfD/Petry,negative,LN,Links
157,Frauke Petry,AfD/Petry,negative,LN,Links
158,Frauke Petry,AfD/Petry,negative,LN,Links
160,Frauke Petry,AfD/Petry,negative,FNLN,Links
161,Frauke Petry,AfD/Petry,negative,FNLN,Links
162,Frauke Petry,AfD/Petry,negative,LN,Links
163,Frauke Petry,AfD/Petry,negative,FNLN,Links
165,Frauke Petry,AfD/Petry,negative,LN,Links
166,Frauke Petry,AfD/Petry,negative,LN,Links
167,Frauke Petry,AfD/Petry,negative,TFNLN,Links
168,Frauke Petry,AfD/Petry,negative,FNLN,Links
169,Frauke Petry,AfD/Petry,negative,FNLN,Rechts
170,Frauke Petry,AfD/Petry,negative,FNLN,Links
171,Frauke Petry,AfD/Petry,negative,FNLN,Links
172,Frauke Petry,AfD/Petry,negative,LN,Rechts
173,Frauke Petry,AfD/Petry,negative,LN,Links
174,Frauke Petry,AfD/Petry,negative,FNLN,Links
175,Frauke Petry,AfD/Petry,negative,FNLN,Links
176,Frauke Petry,AfD/Petry,negative,FNLN,Links
177,Frauke Petry,AfD/Petry,negative,LN,Links
178,Frauke Petry,AfD/Petry,negative,FNLN,Links
179,Frauke Petry,AfD/Petry,negative,LN,Links
180,Frauke Petry,AfD/Petry,negative,LN,Links
181,Frauke Petry,AfD/Petry,negative,LN,Links
182,Frauke Petry,AfD/Petry,negative,FNLN,Links
183,Frauke Petry,AfD/Petry,positive,LN,Links
185,Frauke Petry,AfD/Petry,negative,FNLN,Links
186,Frauke Petry,AfD/Petry,negative,FNLN,Rechts
190,Gregor Gysi,Die Linke,positive,FNLN,Links
191,Gregor Gysi,Die Linke,positive,FNLN,Links
192,Gregor Gysi,Die Linke,negative,LN,Links
193,Gregor Gysi,Die Linke,negative,FNLN,Rechts
195,Gregor Gysi,Die Linke,negative,LN,Rechts
196,Gregor Gysi,Die Linke,negative,LN,Rechts
198,Gregor Gysi,Die Linke,positive,FNLN,Links
200,Gregor Gysi,Die Linke,positive,FNLN,Links
202,Gregor Gysi,Die Linke,negative,FNLN,Links
203,Gregor Gysi,Die Linke,positive,LN,Links
204,Gregor Gysi,Die Linke,negative,LN,Links
205,Gregor Gysi,Die Linke,positive,LN,Links
206,Gregor Gysi,Die Linke,positive,LN,Links
207,Gregor Gysi,Die Linke,positive,FNLN,Links
209,Gregor Gysi,Die Linke,positive,FNLN,Links
210,Gregor Gysi,Die Linke,positive,FNLN,Links
211,Gregor Gysi,Die Linke,negative,FNLN,Rechts
212,Gregor Gysi,Die Linke,positive,FNLN,Links
213,Gregor Gysi,Die Linke,negative,LN,Rechts
214,Gregor Gysi,Die Linke,negative,LN,Rechts
215,Gregor Gysi,Die Linke,positive,FNLN,Links
216,Gregor Gysi,Die Linke,positive,FNLN,Links
217,Gregor Gysi,Die Linke,positive,FNLN,Links
218,Gregor Gysi,Die Linke,positive,LN,Links
219,Gregor Gysi,Die Linke,positive,LN,Links
220,Gregor Gysi,Die Linke,negative,FNLN,Rechts
221,Gregor Gysi,Die Linke,positive,LN,Links
222,Gregor Gysi,Die Linke,positive,FNLN,Links
223,Jörg Meuthen,AfD/Petry,negative,LN,Links
224,Jörg Meuthen,AfD/Petry,negative,LN,Links
225,Jörg Meuthen,AfD/Petry,positive,LN,Rechts
226,Jörg Meuthen,AfD/Petry,negative,LN,Links
227,Jörg Meuthen,AfD/Petry,positive,TLN,Rechts
228,Jörg Meuthen,AfD/Petry,negative,LN,Links
229,Jörg Meuthen,AfD/Petry,positive,LN,Rechts
230,Jörg Meuthen,AfD/Petry,positive,TLN,Rechts
231,Jörg Meuthen,AfD/Petry,positive,LN,Rechts
232,Jörg Meuthen,AfD/Petry,negative,TLN,Links
233,Jörg Meuthen,AfD/Petry,positive,LN,Rechts
236,Jörg Meuthen,AfD/Petry,negative,LN,Links
237,Jörg Meuthen,AfD/Petry,positive,LN,Links
238,Jörg Meuthen,AfD/Petry,positive,FNLN,Rechts
239,Jörg Meuthen,AfD/Petry,negative,TLN,Links
240,Jörg Meuthen,AfD/Petry,negative,LN,Links
241,Jörg Meuthen,AfD/Petry,negative,LN,Links
242,Jörg Meuthen,AfD/Petry,negative,LN,Rechts
243,Jörg Meuthen,AfD/Petry,negative,LN,Links
244,Jörg Meuthen,AfD/Petry,positive,LN,Rechts
245,Jörg Meuthen,AfD/Petry,negative,LN,Links
246,Jörg Meuthen,AfD/Petry,positive,FNLN,Rechts
247,Jörg Meuthen,AfD/Petry,positive,TLN,Rechts
248,Jörg Meuthen,AfD/Petry,negative,LN,Links
249,Jörg Meuthen,AfD/Petry,positive,LN,Rechts
250,Jörg Meuthen,AfD/Petry,negative,LN,Links
251,Jörg Meuthen,AfD/Petry,positive,FNLN,Rechts
252,Jörg Meuthen,AfD/Petry,negative,LN,Links
253,Jörg Meuthen,AfD/Petry,negative,LN,Links
254,Jörg Meuthen,AfD/Petry,negative,FNLN,Links
255,Jörg Meuthen,AfD/Petry,negative,FNLN,Rechts
256,Jörg Meuthen,AfD/Petry,positive,TFNLN,Rechts
257,Jörg Meuthen,AfD/Petry,positive,TFNLN,Rechts
259,Jörg Meuthen,AfD/Petry,negative,LN,Links
260,Jörg Meuthen,AfD/Petry,negative,TLN,Links
262,Robert Habeck,Bündnis 90/Die Grünen,negative,FNLN,Rechts
263,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
264,Robert Habeck,Bündnis 90/Die Grünen,positive,LN,Links
265,Robert Habeck,Bündnis 90/Die Grünen,positive,TFNLN,Links
266,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
267,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
268,Robert Habeck,Bündnis 90/Die Grünen,positive,LN,Links
269,Robert Habeck,Bündnis 90/Die Grünen,negative,FNLN,Rechts
270,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Links
272,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
273,Robert Habeck,Bündnis 90/Die Grünen,negative,FNLN,Rechts
274,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Links
275,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Links
276,Robert Habeck,Bündnis 90/Die Grünen,positive,LN,Links
277,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
278,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
279,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
280,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
282,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Rechts
284,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
286,Robert Habeck,Bündnis 90/Die Grünen,positive,LN,Links
287,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
288,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Links
290,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Rechts
292,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Links
293,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Links
294,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Links
296,Robert Habeck,Bündnis 90/Die Grünen,positive,FNLN,Links
297,Robert Habeck,Bündnis 90/Die Grünen,negative,FNLN,Rechts
